iter	Accuracy	Logloss
424	0.8427967381	0.3388316841
425	0.8426457264	0.3387126622
426	0.8426457264	0.3387050878
427	0.8427967381	0.338621663
428	0.843551797	0.3384710744
429	0.8438538206	0.3383919319
430	0.8440048324	0.3382511228
431	0.8441558442	0.3382088915
432	0.8441558442	0.3381348041
433	0.8443068559	0.3377742474
434	0.8446088795	0.3375801515
435	0.8446088795	0.3374277126
436	0.8447598913	0.3374210899
437	0.8446088795	0.3373914639
438	0.8449109031	0.337154773
439	0.8449109031	0.3371329234
440	0.8449109031	0.33701659
441	0.8449109031	0.3369981018
442	0.8449109031	0.336983863
443	0.8446088795	0.3368024738
444	0.8444578677	0.3366124126
445	0.8446088795	0.3365325823
446	0.8447598913	0.3363163548
447	0.8449109031	0.3361779709
448	0.8449109031	0.3360731688
449	0.8449109031	0.3360330655
450	0.8449109031	0.3360001144
451	0.8450619148	0.3359534702
452	0.8452129266	0.3358616489
453	0.8455149502	0.3358144108
454	0.8455149502	0.3357114509
455	0.8455149502	0.335636012
456	0.8455149502	0.3355235965
457	0.8455149502	0.3354085604
458	0.8452129266	0.3352596527
459	0.8449109031	0.3349183292
460	0.8449109031	0.3345753408
461	0.8452129266	0.3343808871
462	0.8452129266	0.3340409603
463	0.8450619148	0.3339627256
464	0.8458169737	0.3338022305
465	0.8458169737	0.333746308
466	0.8453639384	0.3336799587
467	0.8455149502	0.3335782698
468	0.8458169737	0.3335706837
469	0.8461189973	0.3332664732
470	0.8462700091	0.3331394867
471	0.8464210208	0.3330804113
472	0.8461189973	0.3329943185
473	0.8467230444	0.3328145261
474	0.8467230444	0.3327199469
475	0.8467230444	0.3325394997
476	0.8468740562	0.3323839964
477	0.8465720326	0.3321533352
478	0.8465720326	0.3320197845
479	0.8468740562	0.3318658126
480	0.8467230444	0.3317650382
481	0.8474781033	0.3315745235
482	0.8480821504	0.3314328051
483	0.8476291151	0.3312614724
484	0.8477801268	0.3312277964
485	0.8479311386	0.3310512253
486	0.8474781033	0.3308989048
487	0.8479311386	0.3306846037
488	0.8479311386	0.3305382978
489	0.8479311386	0.3303912905
490	0.8479311386	0.3302674217
491	0.8479311386	0.3301283153
492	0.8477801268	0.3299897993
493	0.8479311386	0.3297587355
494	0.8477801268	0.32962582
495	0.8482331622	0.3294253347
496	0.8485351857	0.3293291454
497	0.8485351857	0.3291486759
498	0.8485351857	0.3290803144
499	0.8486861975	0.3289663054
500	0.8491392329	0.3287621364
501	0.8489882211	0.3287297341
502	0.8491392329	0.3285406584
503	0.8491392329	0.3284538996
504	0.84974328	0.3282754341
505	0.84974328	0.3282381904
506	0.8500453035	0.3280921776
507	0.84974328	0.3279006292
508	0.8495922682	0.3277959715
509	0.84974328	0.3275843982
510	0.84974328	0.3274662619
511	0.84974328	0.3274149058
512	0.8501963153	0.3273500163
513	0.8501963153	0.3272388311
514	0.8503473271	0.3271917235
515	0.8508003624	0.3268866501
516	0.8506493506	0.3267597257
517	0.8508003624	0.3266772109
518	0.8506493506	0.3266285725
519	0.8506493506	0.3264489454
520	0.8506493506	0.3264312913
521	0.8506493506	0.3263352977
522	0.8514044095	0.3262028697
523	0.851102386	0.3260312256
524	0.8518574449	0.325903996
525	0.8517064331	0.3258332366
526	0.8515554213	0.3257280992
527	0.8517064331	0.3256004047
528	0.8520084567	0.3254792069
529	0.8517064331	0.3253676704
530	0.8514044095	0.3253054786
531	0.8517064331	0.3252524875
532	0.8517064331	0.3251270429
533	0.8515554213	0.3250643688
534	0.8514044095	0.3248599813
535	0.8521594684	0.3247556468
536	0.8521594684	0.324680678
537	0.852461492	0.3245187819
538	0.8521594684	0.3243857782
539	0.8523104802	0.3242868554
540	0.8521594684	0.324220733
541	0.8523104802	0.3240905961
542	0.852461492	0.3240107995
543	0.8521594684	0.3239594515
544	0.852461492	0.3238287798
545	0.852461492	0.3238122894
546	0.852461492	0.3237030196
547	0.852461492	0.3235734695
548	0.8527635156	0.3234784564
549	0.8529145273	0.3231335385
550	0.8532165509	0.3230295038
551	0.8529145273	0.3229542529
552	0.8532165509	0.3228691772
553	0.8533675627	0.3227078449
554	0.8530655391	0.3226631733
555	0.8532165509	0.3223619679
556	0.8529145273	0.3222227696
557	0.8539716098	0.3220225505
558	0.853820598	0.3219703293
559	0.8533675627	0.3218623635
560	0.8535185744	0.3218054631
561	0.853820598	0.3217233329
562	0.853820598	0.3216958506
563	0.8541226216	0.3216834728
564	0.8541226216	0.3216090991
565	0.8541226216	0.321363747
566	0.8539716098	0.3213393691
567	0.8542736333	0.3211686542
568	0.8542736333	0.3209334335
569	0.855179704	0.3206794557
570	0.855179704	0.3205925795
571	0.8553307158	0.3205093175
572	0.8554817276	0.3202627377
573	0.8554817276	0.3202547675
574	0.8554817276	0.3202189669
575	0.855179704	0.3202002334
576	0.8562367865	0.3198710812
577	0.8562367865	0.3197921462
578	0.85653881	0.3196612681
579	0.8559347629	0.3195036589
580	0.8559347629	0.3194369221
581	0.8563877982	0.3192867786
582	0.8566898218	0.3191260065
583	0.8568408336	0.3190271992
584	0.8569918454	0.3188212657
585	0.8572938689	0.3187576764
586	0.8574448807	0.3186044564
587	0.8572938689	0.3181531012
588	0.8572938689	0.3180233409
589	0.8575958925	0.3179013739
590	0.8574448807	0.3178123965
591	0.8572938689	0.3177807028
592	0.8575958925	0.3176147746
593	0.8571428571	0.3174227006
594	0.8574448807	0.3172500625
595	0.8572938689	0.317106219
596	0.8577469043	0.3170689152
597	0.8581999396	0.3169273846
598	0.857897916	0.3167453071
599	0.857897916	0.3165896283
600	0.8574448807	0.316316564
601	0.8572938689	0.3162634888
602	0.8577469043	0.3160974632
603	0.857897916	0.3160121414
604	0.8577469043	0.3159098471
605	0.8577469043	0.3158798137
606	0.8577469043	0.3158168866
607	0.8575958925	0.3156708128
608	0.8575958925	0.3155513601
609	0.8569918454	0.3154766547
610	0.8574448807	0.3154188312
611	0.8581999396	0.3152555099
612	0.8580489278	0.3151376652
613	0.8580489278	0.3150311625
614	0.8583509514	0.3149467566
615	0.8585019632	0.3148794789
616	0.8583509514	0.3147362663
617	0.8583509514	0.3147315609
618	0.8583509514	0.3146074861
619	0.8588039867	0.3145307627
620	0.8589549985	0.3144230966
621	0.8586529749	0.3143640085
622	0.8589549985	0.3142847503
623	0.8588039867	0.3140991139
624	0.8586529749	0.3138640269
625	0.8588039867	0.3137038851
626	0.8589549985	0.313663228
627	0.8589549985	0.3135835858
628	0.859257022	0.3134698855
629	0.859257022	0.3132760826
630	0.8594080338	0.31308133
631	0.8598610692	0.3128467097
632	0.8597100574	0.3127691851
633	0.8601630927	0.3125959074
634	0.8601630927	0.3124396601
635	0.8603141045	0.3123444435
636	0.8607671398	0.3122338158
637	0.8607671398	0.3122204997
638	0.8607671398	0.3121577877
639	0.8610691634	0.3119021906
640	0.8606161281	0.3117862037
641	0.8607671398	0.311608423
642	0.8609181516	0.3115206124
643	0.8615221987	0.3113506014
644	0.8618242223	0.3112587657
645	0.8618242223	0.3112394514
646	0.8619752341	0.3111507084
647	0.8619752341	0.3111281026
648	0.8622772576	0.310968418
649	0.8624282694	0.3109585096
650	0.8624282694	0.3108277615
651	0.8630323165	0.3107600056
652	0.8630323165	0.310724403
653	0.862730293	0.3104392954
654	0.8625792812	0.3103295125
655	0.8628813047	0.3102276233
656	0.8628813047	0.3101749039
657	0.8628813047	0.3101681747
658	0.8634853519	0.3100112031
659	0.8636363636	0.3098559951
660	0.8636363636	0.3097904774
661	0.8643914225	0.309640688
662	0.8642404108	0.309500112
663	0.864089399	0.309382773
664	0.8639383872	0.3092834802
665	0.8643914225	0.3091666727
666	0.8643914225	0.3091596002
667	0.8643914225	0.3090820187
668	0.8645424343	0.3089291204
669	0.8645424343	0.3088039548
670	0.864089399	0.3085885742
671	0.8648444579	0.3084605212
672	0.8648444579	0.3084555277
673	0.8646934461	0.3083435495
674	0.8646934461	0.3083312348
675	0.8646934461	0.3082871187
676	0.8643914225	0.3082189153
677	0.8642404108	0.3081727575
678	0.8643914225	0.308072957
679	0.8645424343	0.3079519354
680	0.8645424343	0.3077552809
681	0.8646934461	0.3076366235
682	0.8648444579	0.3075606189
683	0.8645424343	0.3073324839
684	0.8645424343	0.30714031
685	0.8649954696	0.3069077912
686	0.8648444579	0.3068416617
687	0.8645424343	0.3068252272
688	0.8646934461	0.3067060325
689	0.8646934461	0.3066689597
690	0.8648444579	0.306545266
691	0.8648444579	0.3065081658
692	0.8648444579	0.3063971185
693	0.8649954696	0.3062965358
694	0.8649954696	0.3061504079
695	0.8649954696	0.3061068214
696	0.8651464814	0.3060263529
697	0.8651464814	0.3058841886
698	0.8652974932	0.3057397012
699	0.8655995168	0.3056834772
700	0.8652974932	0.3056367483
701	0.8652974932	0.3054682252
702	0.8652974932	0.3052865924
703	0.865448505	0.3051682837
704	0.8655995168	0.3051225236
705	0.8657505285	0.3051108248
706	0.8652974932	0.3050244958
707	0.8652974932	0.3049623934
708	0.8649954696	0.3048068085
709	0.8651464814	0.3047600966
710	0.8652974932	0.3047266009
711	0.8652974932	0.3045340575
712	0.8652974932	0.3043417165
713	0.8652974932	0.3043116665
714	0.8651464814	0.3042638932
715	0.8655995168	0.3041781908
716	0.8652974932	0.3040075743
717	0.8652974932	0.3038805817
718	0.8655995168	0.3037579266
719	0.8655995168	0.3036451198
720	0.8659015403	0.3035467528
721	0.8660525521	0.3034801672
722	0.8662035639	0.3033452337
723	0.8663545757	0.3032933604
724	0.8665055874	0.3031552297
725	0.8665055874	0.3030078998
726	0.866807611	0.3028477971
727	0.8671096346	0.3028074874
728	0.8671096346	0.3026327249
729	0.8671096346	0.3025471954
730	0.8669586228	0.3024931766
731	0.8671096346	0.3023873037
732	0.8671096346	0.3022365912
733	0.8672606463	0.3021513789
734	0.8672606463	0.3020933634
735	0.8674116581	0.3020138714
736	0.8672606463	0.301883971
737	0.8674116581	0.3017560141
738	0.8675626699	0.3017166148
739	0.8675626699	0.301652721
740	0.8677136817	0.3015904236
741	0.8677136817	0.3013665354
742	0.8675626699	0.3012847421
743	0.8678646934	0.3012313048
744	0.8678646934	0.30113015
745	0.868166717	0.3010334907
746	0.8683177288	0.3008984433
747	0.8683177288	0.30086185
748	0.8686197523	0.300765345
749	0.8684687406	0.300690212
750	0.8689217759	0.3005303098
751	0.8689217759	0.3004419931
752	0.8687707641	0.3003750067
753	0.8689217759	0.3003128621
754	0.8687707641	0.3000930125
755	0.8690727877	0.2998885769
756	0.8690727877	0.2998677263
757	0.8689217759	0.2997330928
758	0.8689217759	0.2997005882
759	0.8692237995	0.2995393932
760	0.8693748112	0.2993533048
761	0.869525823	0.2993077099
762	0.8701298701	0.2990530115
763	0.8696768348	0.2989425652
764	0.8698278466	0.2988196566
765	0.8696768348	0.298633449
766	0.8704318937	0.2985839806
767	0.8705829055	0.298544112
768	0.8702808819	0.298429577
769	0.8707339172	0.2981563752
770	0.870884929	0.2979525452
771	0.8713379644	0.2978128361
772	0.8713379644	0.2977517893
773	0.8711869526	0.2976281476
774	0.8711869526	0.2976162664
775	0.8710359408	0.2974921781
776	0.8717909997	0.2973609997
777	0.8720930233	0.2972818606
778	0.8723950468	0.2971736661
779	0.8723950468	0.2971135322
780	0.872244035	0.2970248275
781	0.8719420115	0.2969606017
782	0.8719420115	0.2969552822
783	0.8720930233	0.2968604033
784	0.872244035	0.2968223107
785	0.872244035	0.2967300369
786	0.872244035	0.2966445386
787	0.8720930233	0.296491788
788	0.872244035	0.2963792919
789	0.8725460586	0.2963483883
790	0.8725460586	0.2962703124
791	0.8725460586	0.2961847421
792	0.8729990939	0.2960767989
793	0.8723950468	0.295949449
794	0.8725460586	0.2958387728
795	0.8726970704	0.295774488
796	0.8728480822	0.2956365676
797	0.8731501057	0.2955494137
798	0.8729990939	0.2954827239
799	0.8726970704	0.2953803085
800	0.8729990939	0.2952597546
801	0.8731501057	0.2951601485
802	0.8733011175	0.2950745581
803	0.873603141	0.2950004429
804	0.8734521293	0.2949396772
805	0.8734521293	0.2948485142
806	0.8739051646	0.2947347395
807	0.8737541528	0.294701015
808	0.8739051646	0.2944415373
809	0.8742071882	0.2942199815
810	0.8745092117	0.2940274
811	0.8746602235	0.2938532306
812	0.8748112353	0.293785438
813	0.8752642706	0.2936391073
814	0.8754152824	0.2934741293
815	0.8755662942	0.2933702638
816	0.8752642706	0.2931476053
817	0.8755662942	0.2930361493
818	0.8754152824	0.2929769784
819	0.8755662942	0.292912685
820	0.8755662942	0.2928702743
821	0.8755662942	0.2928163301
822	0.8754152824	0.2927929749
823	0.8757173059	0.2926493933
824	0.8757173059	0.2924912609
825	0.8760193295	0.2924434469
826	0.8766233766	0.2923051332
827	0.8763213531	0.2921094755
828	0.8763213531	0.2920531519
829	0.8763213531	0.291812043
830	0.8764723648	0.2917048852
831	0.8764723648	0.2916877764
832	0.8766233766	0.2916051987
833	0.8764723648	0.2915459111
834	0.8764723648	0.2914941022
835	0.8764723648	0.2913790263
836	0.8766233766	0.2913088828
837	0.8767743884	0.2912125058
838	0.877076412	0.2910940147
839	0.877076412	0.2910881599
840	0.8767743884	0.2908640332
841	0.8764723648	0.2907074392
842	0.8766233766	0.290635842
843	0.8763213531	0.2905374457
844	0.8763213531	0.290356462
845	0.8763213531	0.2902329783
846	0.8763213531	0.2902092336
847	0.8764723648	0.2900476497
848	0.8766233766	0.2899743626
849	0.8767743884	0.289874839
850	0.8764723648	0.2898212749
851	0.8764723648	0.2897726228
852	0.8763213531	0.2896252484
853	0.8766233766	0.2895657662
854	0.8766233766	0.2895002621
855	0.8769254002	0.2894462761
856	0.877076412	0.289378999
857	0.8772274237	0.289295997
858	0.8772274237	0.289268221
859	0.877076412	0.2891695489
860	0.8775294473	0.2890608458
861	0.8773784355	0.2889012981
862	0.8769254002	0.2886962358
863	0.877076412	0.2885243476
864	0.8772274237	0.2884504523
865	0.8776804591	0.2883331424
866	0.8776804591	0.2882952438
867	0.8776804591	0.2882732528
868	0.8772274237	0.2881701111
869	0.8776804591	0.2879837342
870	0.8776804591	0.2878553482
871	0.8776804591	0.2877346189
872	0.8782845062	0.2875637366
873	0.8781334944	0.2875320096
874	0.8788885533	0.2873391797
875	0.8788885533	0.2873373469
876	0.8788885533	0.2873350728
877	0.8787375415	0.2873097454
878	0.8787375415	0.2872115722
879	0.8787375415	0.2871112796
880	0.8788885533	0.2870678212
881	0.8787375415	0.2869986227
